"id";"runnername";"runversion";"runtime";"rundate";"runduration";"runcomment";"runnercolor";"runlink"
1;"Matheusrodf";"1.7";"01:56:48";"21/01/2020";1;"Primeira run de RSG brasileira no speedrun.com!";"lightblue";"https://www.speedrun.com/mc/runs/z018014y"
2;"lvl101Magikarp";"1.7";"00:49:11";"22/01/2020";67;"O cara joga no linux simplesmente incrivel";"pink";"https://www.speedrun.com/mc/runs/mex27p3z"
3;"lvl101Magikarp";"1.7";"00:44:08";"29/03/2020";52;"Um recorde brasileiro que nao foi enviado para o speedrun.com, nao sabemos o porque";"pink";"https://www.twitch.tv/videos/578449720"
4;"lvl101Magikarp";"1.7";"00:40:46";"20/05/2020";62;"Poderia ter sido sub 40, mas demorouu 6 minutos na end fight, e foi o ultimo PB desse runner";"pink";"https://www.speedrun.com/mc/runs/y82e2l5y"
